id,name,type,attribute,race,level,attack_points,defense_points,cost,rarity,description,image
12,Swamp Battleguard,Effect Monster,EARTH,Warrior,5,1800,1500,5,Common,"This card gains 500 ATK for each ""Lava Battleguard"" you control.",https://images.ygoprodeck.com/images/cards/40453765.jpg
13,Tyhone,Normal Monster,WIND,Winged Beast,4,1200,1400,4,Common,"Capable of firing cannonballs from its mouth for long-range attacks, this creature is particularly effective in mountain battles.",https://images.ygoprodeck.com/images/cards/72842870.jpg
14,Battle Steer,Normal Monster,EARTH,Beast-Warrior,5,1800,1300,5,Common,"A bull monster often found in the woods, it charges enemy monsters with a pair of deadly horns.",https://images.ygoprodeck.com/images/cards/18246479.jpg
15,Flame Swordsman,Fusion Monster,FIRE,Warrior,5,1800,1600,5,Common,"""Flame Manipulator"" + ""Masaki the Legendary Swordsman""",https://images.ygoprodeck.com/images/cards/45231177.jpg
16,Time Wizard,Effect Monster,LIGHT,Spellcaster,2,500,400,2,Common,"Once per turn: You can toss a coin and call it. If you call it right, destroy all monsters your opponent controls. If you call it wrong, destroy as many monsters you control as possible, and if you do, take damage equal to half the total ATK those destroyed monsters had while face-up on the field.",https://images.ygoprodeck.com/images/cards/71625222.jpg
17,Right Leg of the Forbidden One,Normal Monster,DARK,Spellcaster,1,200,300,1,Common,A forbidden right leg sealed by magic. Whosoever breaks this seal will know infinite power.,https://images.ygoprodeck.com/images/cards/8124921.jpg
18,Left Leg of the Forbidden One,Normal Monster,DARK,Spellcaster,1,200,300,1,Common,A forbidden left leg sealed by magic. Whosoever breaks this seal will know infinite power.,https://images.ygoprodeck.com/images/cards/44519536.jpg
19,Right Arm of the Forbidden One,Normal Monster,DARK,Spellcaster,1,200,300,1,Common,A forbidden right arm sealed by magic. Whosoever breaks this seal will know infinite power.,https://images.ygoprodeck.com/images/cards/70903634.jpg
20,Left Arm of the Forbidden One,Normal Monster,DARK,Spellcaster,1,200,300,1,Common,A forbidden left arm sealed by magic. Whosoever breaks this seal will know infinite power.,https://images.ygoprodeck.com/images/cards/7902349.jpg
21,Exodia the Forbidden One,Effect Monster,DARK,Spellcaster,3,1000,1000,3,Common,"If you have ""Right Leg of the Forbidden One"", ""Left Leg of the Forbidden One"", ""Right Arm of the Forbidden One"" and ""Left Arm of the Forbidden One"" in addition to this card in your hand, you win the Duel.",https://images.ygoprodeck.com/images/cards/33396948.jpg
22,Summoned Skull,Normal Monster,DARK,Fiend,6,2500,1200,6,Common,"A fiend with dark powers for confusing the enemy. Among the Fiend-Type monsters, this monster boasts considerable force.

(This card is always treated as an ""Archfiend"" card.)",https://images.ygoprodeck.com/images/cards/70781052.jpg
23,The Wicked Worm Beast,Effect Monster,EARTH,Beast,3,1400,700,3,Common,This face-up card on the field is returned to the owner's hand during the End Phase of your turn.,https://images.ygoprodeck.com/images/cards/6285791.jpg
24,Skull Servant,Normal Monster,DARK,Zombie,1,300,200,1,Common,A skeletal ghost that isn't strong but can mean trouble in large numbers.,https://images.ygoprodeck.com/images/cards/32274490.jpg
25,Horn Imp,Normal Monster,DARK,Fiend,4,1300,1000,4,Common,"''A small fiend that dwells in the dark, its single horn makes it a formidable opponent.''",https://images.ygoprodeck.com/images/cards/69669405.jpg
26,Battle Ox,Normal Monster,EARTH,Beast-Warrior,4,1700,1000,4,Common,"A monster with tremendous power, it destroys enemies with a swing of its axe.",https://images.ygoprodeck.com/images/cards/5053103.jpg
27,Beaver Warrior,Normal Monster,EARTH,Beast-Warrior,4,1200,1500,4,Common,What this creature lacks in size it makes up for in defense when battling in the prairie.,https://images.ygoprodeck.com/images/cards/32452818.jpg
28,Rock Ogre Grotto #1,Normal Monster,EARTH,Rock,3,800,1200,3,Common,"Protected by a solid body of rock, this monster throws a bone-shattering punch.",https://images.ygoprodeck.com/images/cards/68846917.jpg
29,Mountain Warrior,Normal Monster,EARTH,Beast-Warrior,3,600,1000,3,Common,A tough warrior that can move smoothly on even the roughest terrain.,https://images.ygoprodeck.com/images/cards/4931562.jpg
30,Zombie Warrior,Fusion Monster,DARK,Zombie,3,1200,900,3,Common,"""Skull Servant"" + ""Battle Warrior""",https://images.ygoprodeck.com/images/cards/31339260.jpg
31,Koumori Dragon,Normal Monster,DARK,Dragon,4,1500,1200,4,Common,"A vicious, fire-breathing dragon whose wicked flame corrupts the souls of its victims.",https://images.ygoprodeck.com/images/cards/67724379.jpg
32,Two-Headed King Rex,Normal Monster,EARTH,Dinosaur,4,1600,1200,4,Common,A powerful monster whose two heads attack as one.,https://images.ygoprodeck.com/images/cards/94119974.jpg
33,Judge Man,Normal Monster,EARTH,Warrior,6,2200,1500,6,Common,This club-wielding warrior battles to the end and will never surrender.,https://images.ygoprodeck.com/images/cards/30113682.jpg
34,Saggi the Dark Clown,Normal Monster,DARK,Spellcaster,3,600,1500,3,Common,This clown appears from nowhere and executes very strange moves to avoid enemy attacks.,https://images.ygoprodeck.com/images/cards/66602787.jpg
35,Dark Magician,Normal Monster,DARK,Spellcaster,7,2500,2100,7,Common,''The ultimate wizard in terms of attack and defense.'',https://images.ygoprodeck.com/images/cards/46986414.jpg
36,The Snake Hair,Normal Monster,DARK,Zombie,4,1500,1200,4,Common,A monster with a head of poison snakes. One look from this monster can turn an opponent to stone.,https://images.ygoprodeck.com/images/cards/29491031.jpg
37,Gaia the Dragon Champion,Fusion Monster,WIND,Dragon,7,2600,2100,7,Common,"""Gaia The Fierce Knight"" + ""Curse of Dragon""",https://images.ygoprodeck.com/images/cards/66889139.jpg
38,Gaia The Fierce Knight,Normal Monster,EARTH,Warrior,7,2300,2100,7,Common,''A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.'',https://images.ygoprodeck.com/images/cards/6368038.jpg
39,Curse of Dragon,Normal Monster,DARK,Dragon,5,2000,1500,5,Common,A wicked dragon that taps into dark forces to execute a powerful attack.,https://images.ygoprodeck.com/images/cards/28279543.jpg
40,Dragon Piper,Flip Effect Monster,FIRE,Pyro,3,200,1800,3,Common,"FLIP: Destroy all face-up ""Dragon Capture Jar""(s) on the field. If you destroy any, change all face-up Dragon-Type monsters on the field to Attack Position.",https://images.ygoprodeck.com/images/cards/55763552.jpg
41,Celtic Guardian,Normal Monster,EARTH,Warrior,4,1400,1200,4,Common,"An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks.",https://images.ygoprodeck.com/images/cards/91152256.jpg
42,Illusionist Faceless Mage,Normal Monster,DARK,Spellcaster,5,1200,2200,5,Common,Manipulates enemy attacks with the power of illusion.,https://images.ygoprodeck.com/images/cards/28546905.jpg
43,Karbonala Warrior,Fusion Monster,EARTH,Warrior,4,1500,1200,4,Common,"""M-Warrior #1"" + ""M-Warrior #2""",https://images.ygoprodeck.com/images/cards/54541900.jpg
44,Rogue Doll,Normal Monster,LIGHT,Spellcaster,4,1600,1000,4,Common,"A deadly doll gifted with mystical power, it is particularly powerful when attacking against dark forces.",https://images.ygoprodeck.com/images/cards/91939608.jpg
45,Oscillo Hero #2,Normal Monster,LIGHT,Thunder,3,1000,500,3,Common,A creature that electrocutes opponents with bolts of lightning.,https://images.ygoprodeck.com/images/cards/27324313.jpg
46,Griffore,Normal Monster,EARTH,Beast,4,1200,1500,4,Common,This monster's tough hide deflects almost any attack.,https://images.ygoprodeck.com/images/cards/53829412.jpg
47,Torike,Normal Monster,EARTH,Beast,3,1200,600,3,Common,"''Although a poor defender, this monster's sharp horn gives it an edge when attacking.''",https://images.ygoprodeck.com/images/cards/80813021.jpg
48,Sangan,Effect Monster,DARK,Fiend,3,1000,600,3,Common,"If this card is sent from the field to the GY: Add 1 monster with 1500 or less ATK from your Deck to your hand, but you cannot activate cards, or the effects of cards, with that name for the rest of this turn. You can only use this effect of ""Sangan"" once per turn.",https://images.ygoprodeck.com/images/cards/26202165.jpg
49,Big Insect,Normal Monster,EARTH,Insect,4,1200,1500,4,Common,"A giant ant that dwells in the jungle, it is powerful whether attacking or defending.",https://images.ygoprodeck.com/images/cards/53606874.jpg
50,Basic Insect,Normal Monster,EARTH,Insect,2,500,700,2,Common,"Usually found traveling in swarms, this creature's ideal environment is the forest.",https://images.ygoprodeck.com/images/cards/89091579.jpg
51,Armored Lizard,Normal Monster,EARTH,Reptile,4,1500,1200,4,Common,A lizard with a very tough hide and a vicious bite.,https://images.ygoprodeck.com/images/cards/15480588.jpg
52,Hercules Beetle,Normal Monster,EARTH,Insect,5,1500,2000,5,Common,A massive beetle with a tough carapace and a dangerous horn.,https://images.ygoprodeck.com/images/cards/52584282.jpg
53,Killer Needle,Normal Monster,WIND,Insect,4,1200,1000,4,Common,A huge bee with exceptional strength that's particularly dangerous in a swarm.,https://images.ygoprodeck.com/images/cards/88979991.jpg
54,Gokibore,Normal Monster,EARTH,Insect,4,1200,1400,4,Common,"A large, spherical roach that attacks its enemies by rolling over them.",https://images.ygoprodeck.com/images/cards/15367030.jpg
55,Giant Flea,Normal Monster,EARTH,Insect,4,1500,1200,4,Common,A massive flea that feeds on the blood of its enemies.,https://images.ygoprodeck.com/images/cards/41762634.jpg
56,Larvae Moth,Effect Monster,EARTH,Insect,2,500,400,2,Common,"This monster cannot be Normal Summoned or Set. This card can only be Special Summoned by Tributing ""Petit Moth"" during your 2nd turn after ""Petit Moth"" has been equipped with ""Cocoon of Evolution"".",https://images.ygoprodeck.com/images/cards/87756343.jpg
57,Great Moth,Effect Monster,EARTH,Insect,8,2600,2500,8,Common,"This monster cannot be Normal Summoned or Set. This card can only be Special Summoned by Tributing ""Petit Moth"" during your 4th turn after ""Petit Moth"" has been equipped with ""Cocoon of Evolution"".",https://images.ygoprodeck.com/images/cards/14141448.jpg
58,Kuriboh,Effect Monster,DARK,Fiend,1,300,200,1,Common,"During damage calculation, if your opponent's monster attacks (Quick Effect): You can discard this card; you take no battle damage from that battle.",https://images.ygoprodeck.com/images/cards/40640057.jpg
59,Mammoth Graveyard,Normal Monster,EARTH,Dinosaur,3,1200,800,3,Common,A mammoth that protects the graves of its pack and is absolutely merciless when facing grave-robbers.,https://images.ygoprodeck.com/images/cards/40374923.jpg
60,Great White,Normal Monster,WATER,Fish,4,1600,800,4,Common,A giant white shark with razor-sharp teeth.,https://images.ygoprodeck.com/images/cards/13429800.jpg
61,Wolf,Normal Monster,EARTH,Beast,3,1200,800,3,Common,"Dis alpha wolf yoozes his sense a smell ta find da enemy. 'ey, quit sniffin at my socks!",https://images.ygoprodeck.com/images/cards/49417509.jpg
62,Harpie Lady,Normal Monster,WIND,Winged Beast,4,1300,1400,4,Common,This human-shaped animal with wings is beautiful to watch but deadly in battle.,https://images.ygoprodeck.com/images/cards/76812113.jpg
63,Harpie Lady Sisters,Effect Monster,WIND,Winged Beast,6,1950,2100,6,Common,"Cannot be Normal Summoned/Set. Must first be Special Summoned with ""Elegant Egotist"".",https://images.ygoprodeck.com/images/cards/12206212.jpg
64,Tiger Axe,Normal Monster,EARTH,Beast-Warrior,4,1300,1100,4,Common,A fast and powerful axe-wielding beast-warrior.,https://images.ygoprodeck.com/images/cards/49791927.jpg
65,Silver Fang,Normal Monster,EARTH,Beast,3,1200,800,3,Common,"A snow wolf that's beautiful to the eye, but absolutely vicious in battle.",https://images.ygoprodeck.com/images/cards/90357090.jpg
66,Kojikocy,Normal Monster,EARTH,Warrior,4,1500,1200,4,Common,A man-hunter with powerful arms that can crush boulders.,https://images.ygoprodeck.com/images/cards/1184620.jpg
67,Perfectly Ultimate Great Moth,Effect Monster,EARTH,Insect,8,3500,3000,8,Common,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 1 ""Petit Moth"" on your 6th turn or later after it was equipped with ""Cocoon of Evolution"".",https://images.ygoprodeck.com/images/cards/48579379.jpg
68,Garoozis,Normal Monster,FIRE,Beast-Warrior,5,1800,1500,5,Common,An axe-swinging beast-warrior with the head of a dragon.,https://images.ygoprodeck.com/images/cards/14977074.jpg
69,Thousand Dragon,Fusion Monster,WIND,Dragon,7,2400,2000,7,Common,"""Time Wizard"" + ""Baby Dragon""",https://images.ygoprodeck.com/images/cards/41462083.jpg
70,Fiend Kraken,Normal Monster,WATER,Aqua,4,1200,1400,4,Common,A giant squid that drags its enemies to a watery grave.,https://images.ygoprodeck.com/images/cards/77456781.jpg
71,Jellyfish,Normal Monster,WATER,Aqua,4,1200,1500,4,Common,"An almost invisible, semi-transparent jellyfish that drifts in the sea.",https://images.ygoprodeck.com/images/cards/14851496.jpg
72,Cocoon of Evolution,Effect Monster,EARTH,Insect,3,0,2000,3,Common,"You can target 1 ""Petit Moth"" you control; equip this card from your hand to that target. While equipped by this effect, the original ATK/DEF of that ""Petit Moth"" becomes the ATK/DEF of ""Cocoon of Evolution"".",https://images.ygoprodeck.com/images/cards/40240595.jpg
73,Kairyu-Shin,Normal Monster,WATER,Sea Serpent,5,1800,1500,5,Common,"A sea dragon known as the King of the Ocean, it attacks its enemies with huge tidal waves.",https://images.ygoprodeck.com/images/cards/76634149.jpg
74,Giant Soldier of Stone,Normal Monster,EARTH,Rock,3,1300,2000,3,Common,A giant warrior made of stone. A punch from this creature has earth-shaking results.,https://images.ygoprodeck.com/images/cards/13039848.jpg
75,Man-Eating Plant,Normal Monster,EARTH,Plant,2,800,600,2,Common,''A meat-eating plant that is attractive to the eye but dangerous when approached.'',https://images.ygoprodeck.com/images/cards/49127943.jpg
76,Krokodilus,Normal Monster,WATER,Reptile,4,1100,1200,4,Common,''A vicious crocodile with great intelligence.'',https://images.ygoprodeck.com/images/cards/76512652.jpg
77,Grappler,Normal Monster,WATER,Reptile,4,1300,1200,4,Common,A devious snake with a thick body that wraps around an enemy monster and squeezes the life out of it.,https://images.ygoprodeck.com/images/cards/2906250.jpg
78,Axe Raider,Normal Monster,EARTH,Warrior,4,1700,1150,4,Common,An axe-wielding monster of tremendous strength and agility.,https://images.ygoprodeck.com/images/cards/48305365.jpg
79,Megazowler,Normal Monster,EARTH,Dinosaur,6,1800,2000,6,Common,Nothing stands in the way of this spike-covered dinosaur!,https://images.ygoprodeck.com/images/cards/75390004.jpg
80,Uraby,Normal Monster,EARTH,Dinosaur,4,1500,800,4,Common,"Fast on its feet, this dinosaur rips enemies to shreds with its sharp claws.",https://images.ygoprodeck.com/images/cards/1784619.jpg
81,Crawling Dragon #2,Normal Monster,EARTH,Dinosaur,4,1600,1200,4,Common,A powerful dragon with teeth that can grind almost anything to dust.,https://images.ygoprodeck.com/images/cards/38289717.jpg
82,Red-Eyes B. Dragon,Normal Monster,DARK,Dragon,7,2400,2000,7,Common,''A ferocious dragon with a deadly attack.'',https://images.ygoprodeck.com/images/cards/74677422.jpg
83,Castle of Dark Illusions,Flip Effect Monster,DARK,Fiend,4,920,1930,4,Common,"FLIP: All Zombie-Type monsters gain 200 ATK and DEF. During each of your next 4 Standby Phases, each of those Zombie-Type monsters gains 200 more ATK and DEF. These effects last as long as this card is face-up on the field.",https://images.ygoprodeck.com/images/cards/62121.jpg
84,Reaper of the Cards,Flip Effect Monster,DARK,Fiend,5,1380,1930,5,Common,"FLIP: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position.",https://images.ygoprodeck.com/images/cards/33066139.jpg
85,King of Yamimakai,Normal Monster,DARK,Fiend,5,2000,1530,5,Common,Wields the power of darkness to destroy its enemies.,https://images.ygoprodeck.com/images/cards/69455834.jpg
86,Barox,Fusion Monster,DARK,Fiend,5,1380,1530,5,Common,"""Frenzied Panda"" + ""Ryu-Kishin""",https://images.ygoprodeck.com/images/cards/6840573.jpg
87,Dark Chimera,Normal Monster,DARK,Fiend,5,1610,1460,5,Common,''A fire-breathing monster that dwells in the netherworld.'',https://images.ygoprodeck.com/images/cards/32344688.jpg
88,Metal Guardian,Normal Monster,DARK,Fiend,5,1150,2150,5,Common,"A fiend guarding the treasures of the netherworld, it's most at home in the dark.",https://images.ygoprodeck.com/images/cards/68339286.jpg
89,Catapult Turtle,Effect Monster,WATER,Aqua,5,1000,2000,5,Common,Once per turn: You can Tribute 1 monster; inflict damage to your opponent equal to half the Tributed monster's ATK on the field.,https://images.ygoprodeck.com/images/cards/95727991.jpg
90,Gyakutenno Megami,Normal Monster,LIGHT,Fairy,6,1800,2000,6,Common,This fairy uses her mystical power to protect the weak and provide spiritual support.,https://images.ygoprodeck.com/images/cards/31122090.jpg
91,Mystic Horseman,Normal Monster,EARTH,Beast,4,1300,1550,4,Common,"Half man and half horse, this monster is known for its extreme speed.",https://images.ygoprodeck.com/images/cards/68516705.jpg
92,Rabid Horseman,Fusion Monster,EARTH,Beast-Warrior,6,2000,1700,6,Common,"""Battle Ox"" + ""Mystic Horseman""",https://images.ygoprodeck.com/images/cards/94905343.jpg
93,Zanki,Normal Monster,EARTH,Warrior,5,1500,1700,5,Common,''His swiftly drawn blade delivers quick and fatal damage.'',https://images.ygoprodeck.com/images/cards/30090452.jpg
94,Crawling Dragon,Normal Monster,EARTH,Dragon,5,1600,1400,5,Common,"This weakened dragon can no longer fly, but is still a deadly force to be reckoned with.",https://images.ygoprodeck.com/images/cards/67494157.jpg
95,Crass Clown,Effect Monster,DARK,Fiend,4,1350,1400,4,Common,"When this card is changed from Defense Position to Attack Position, return 1 monster on your opponent's side of the field to the owner's hand.",https://images.ygoprodeck.com/images/cards/93889755.jpg
96,Armored Zombie,Normal Monster,DARK,Zombie,3,1500,0,3,Common,This warrior blindly swings a deadly blade with devastating force.,https://images.ygoprodeck.com/images/cards/20277860.jpg
97,Dragon Zombie,Normal Monster,DARK,Zombie,3,1600,0,3,Common,A dragon revived by sorcery. Its breath is highly corrosive.,https://images.ygoprodeck.com/images/cards/66672569.jpg
98,Clown Zombie,Normal Monster,DARK,Zombie,2,1350,0,2,Common,A clown revived by the powers of darkness. Its deadly dance has sent many monsters to their graves.,https://images.ygoprodeck.com/images/cards/92667214.jpg
99,Pumpking the King of Ghosts,Effect Monster,DARK,Zombie,6,1800,2000,6,Common,"Gains 100 ATK/DEF while ""Castle of Dark Illusions"" is on the field. Also, during your Standby Phase, if ""Castle of Dark Illusions"" is on the field: This card gains 100 ATK/DEF. This effect activates once per turn, for four of your Standby Phases (counting this as the first). ""Castle of Dark Illusions"" must be on the field to activate and to resolve this effect. If ""Castle of Dark Illusions"" is not on the field, this ATK/DEF gain disappears and this effect resets.",https://images.ygoprodeck.com/images/cards/29155212.jpg
100,Battle Warrior,Normal Monster,EARTH,Warrior,3,700,1000,3,Common,A warrior that fights with his bare hands!!!,https://images.ygoprodeck.com/images/cards/55550921.jpg
101,Wings of Wicked Flame,Normal Monster,FIRE,Pyro,2,700,600,2,Common,Crimson wings of fire make this a very lethal creature.,https://images.ygoprodeck.com/images/cards/92944626.jpg
102,Mask of Darkness,Flip Effect Monster,DARK,Fiend,2,900,400,2,Common,FLIP: Target 1 Trap in your GY; add that target to your hand.,https://images.ygoprodeck.com/images/cards/28933734.jpg
103,Job-Change Mirror,Normal Monster,DARK,Fiend,3,800,1300,3,Common,''A wicked mirror that blocks off the damaging effects of an attack.'',https://images.ygoprodeck.com/images/cards/55337339.jpg
104,Curtain of the Dark Ones,Normal Monster,DARK,Spellcaster,2,600,500,2,Common,"A curtain that a spellcaster made, it is said to raise a dark power.",https://images.ygoprodeck.com/images/cards/22026707.jpg
105,Tomozaurus,Normal Monster,EARTH,Dinosaur,2,500,400,2,Common,"Small but vicious, this monster even attacks its own kind.",https://images.ygoprodeck.com/images/cards/46457856.jpg
106,Spirit of the Winds,Normal Monster,WIND,Spellcaster,5,1700,1400,5,Common,''A spirit of the wind that calls up a storm when it's in a bad mood.'',https://images.ygoprodeck.com/images/cards/54615781.jpg
107,Kageningen,Normal Monster,DARK,Warrior,2,800,600,2,Common,He yoozes both a physical and a shadow form ta attack. So he's a tough monstah ta beat!,https://images.ygoprodeck.com/images/cards/80600490.jpg
108,Graveyard and the Hand of Invitation,Normal Monster,DARK,Zombie,3,700,900,3,Common,''A graveyard that serves as a power source for zombies.'',https://images.ygoprodeck.com/images/cards/27094595.jpg
109,Goddess with the Third Eye,Effect Monster,LIGHT,Fairy,4,1200,1000,4,Common,"You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion Material Monster(s) must be the correct one(s).",https://images.ygoprodeck.com/images/cards/53493204.jpg
110,Hero of the East,Normal Monster,EARTH,Warrior,3,1100,1000,3,Common,Feel da strength ah dis sword-swingin' samurai from da Far East.,https://images.ygoprodeck.com/images/cards/89987208.jpg
111,Doma The Angel of Silence,Normal Monster,DARK,Fairy,5,1600,1400,5,Common,This fairy rules over the end of existence.,https://images.ygoprodeck.com/images/cards/16972957.jpg
112,That Which Feeds on Life,Normal Monster,DARK,Fiend,4,1200,1000,4,Common,A monster that feeds on the energy of other creatures.,https://images.ygoprodeck.com/images/cards/52367652.jpg
113,Dark Gray,Normal Monster,EARTH,Beast,3,800,900,3,Common,"Entirely gray, this beast has rarely been seen by mortal eyes.",https://images.ygoprodeck.com/images/cards/9159938.jpg
114,White Magical Hat,Effect Monster,LIGHT,Spellcaster,3,1000,700,3,Common,"When this card inflicts Battle Damage to your opponent's Life Points, your opponent discards 1 card randomly from his/her hand.",https://images.ygoprodeck.com/images/cards/15150365.jpg
115,Kamionwizard,Fusion Monster,DARK,Spellcaster,4,1300,1100,4,Common,"""Mystical Elf"" + ""Curtain of the Dark Ones""",https://images.ygoprodeck.com/images/cards/41544074.jpg
116,Nightmare Scorpion,Normal Monster,EARTH,Insect,3,900,800,3,Common,"''A creature that generates nightmares to haunt an opponent, it attacks with four poisonous tails.''",https://images.ygoprodeck.com/images/cards/88643173.jpg
117,Spirit of the Books,Normal Monster,WIND,Winged Beast,4,1400,1200,4,Common,"This wise spirit dwells in books, using its accumulated knowledge to defeat enemies.",https://images.ygoprodeck.com/images/cards/14037717.jpg
118,Supporter in the Shadows,Normal Monster,EARTH,Warrior,3,1000,1000,3,Common,''A cute little elf that hides in the shadows and provides spiritual support.'',https://images.ygoprodeck.com/images/cards/41422426.jpg
119,Trial of Nightmare,Normal Monster,DARK,Fiend,4,1300,900,4,Common,This fiend passes judgment on enemies that are locked in coffins.,https://images.ygoprodeck.com/images/cards/77827521.jpg
120,Dream Clown,Effect Monster,EARTH,Warrior,3,1200,900,3,Common,"When this card is changed from Attack Position to face-up Defense Position, select 1 monster your opponent controls and destroy it.",https://images.ygoprodeck.com/images/cards/13215230.jpg
121,Sleeping Lion,Normal Monster,EARTH,Beast,4,700,1700,4,Common,A ferocious animal that sleeps all day. Sometimes it's better to let Sleeping Lions lie.,https://images.ygoprodeck.com/images/cards/40200834.jpg
122,Yamatano Dragon Scroll,Normal Monster,WIND,Dragon,2,900,300,2,Common,''A dragon conjured from the very scroll in which it was depicted.'',https://images.ygoprodeck.com/images/cards/76704943.jpg
123,Dark Plant,Normal Monster,DARK,Plant,1,300,400,1,Common,''This mutant flower draws its power from pollutants and the dark forces.'',https://images.ygoprodeck.com/images/cards/13193642.jpg
124,Ancient Tool,Normal Monster,DARK,Machine,5,1700,1400,5,Common,A destructive machine discovered in the Ruins of the Ancients.,https://images.ygoprodeck.com/images/cards/49587396.jpg
125,Faith Bird,Normal Monster,WIND,Winged Beast,4,1500,1100,4,Common,This long-tailed bird blinds its enemies with mystical light.,https://images.ygoprodeck.com/images/cards/75582395.jpg
126,Orion the Battle King,Normal Monster,LIGHT,Fairy,5,1800,1500,5,Common,''None have lived to tell tales of this powerful battle fairy.'',https://images.ygoprodeck.com/images/cards/2971090.jpg
127,Ansatsu,Normal Monster,EARTH,Warrior,5,1700,1200,5,Common,A silent and deadly warrior specializing in assassinations.,https://images.ygoprodeck.com/images/cards/48365709.jpg
128,LaMoon,Normal Monster,LIGHT,Spellcaster,5,1200,1700,5,Common,''A sorcerer that draws its powers from the lunar landscape.'',https://images.ygoprodeck.com/images/cards/75850803.jpg
129,Nemuriko,Normal Monster,DARK,Spellcaster,3,800,700,3,Common,A child-like creature that controls a sleep fiend to beckon enemies into eternal slumber.,https://images.ygoprodeck.com/images/cards/90963488.jpg
130,Weather Control,Normal Monster,LIGHT,Fairy,2,600,400,2,Common,''This creature controls weather and is often the cause of mountain storms.'',https://images.ygoprodeck.com/images/cards/37243151.jpg
131,Octoberser,Normal Monster,WATER,Aqua,5,1600,1400,5,Common,"With the head of a fish and the legs of an octopus, this strange creature attacks enemies by flinging spears.",https://images.ygoprodeck.com/images/cards/74637266.jpg
132,The 13th Grave,Normal Monster,DARK,Zombie,3,1200,900,3,Common,A zombie that suddenly appeared from plot #13 - an empty grave.,https://images.ygoprodeck.com/images/cards/32864.jpg
133,Charubin the Fire Knight,Fusion Monster,FIRE,Pyro,3,1100,800,3,Common,"""Monster Egg"" + ""Hinotama Soul""",https://images.ygoprodeck.com/images/cards/37421579.jpg
134,Mystical Capture Chain,Normal Monster,LIGHT,Fairy,2,700,700,2,Common,"''A mystical chain that binds enemies, rendering them immobile.''",https://images.ygoprodeck.com/images/cards/63515678.jpg
135,Fiend's Hand,Normal Monster,DARK,Zombie,2,600,600,2,Common,''Arms that reach out from the Swamp of Chaos to drag down the unwary.'',https://images.ygoprodeck.com/images/cards/52800428.jpg
136,Witty Phantom,Normal Monster,DARK,Fiend,4,1400,1300,4,Common,"Dressed in a night-black tuxedo, this creature presides over the darkness.",https://images.ygoprodeck.com/images/cards/36304921.jpg
